"DOI","Subfield","Methodology"
"10.1016/j.brat.2020.103797","Experimental_Psychology","randomized_experimental_study registered_study"
"10.32872/cpe.8403","Professional_Issues Clinical_Psychology",NA
"10.1159/000514166","Clinical_Psychology","randomized_experimental_study registered_study"
"10.1177/2167702619858071","Methodology Health_Psychology","methodological_study"
"10.1002/jts.22615","Clinical_Psychology Social_Processes Cultural_Psychology","randomized_experimental_study registered_study"
"10.1007/s00278-022-00590-1","Clinical_Psychology","quantitative_study"
"10.1037/tra0001019","Experimental_Psychology","experimental_study"
"10.2196/16450","Clinical_Psychology Media_Psychology","qualitative_study quantitative_study registered_study"
"10.1007/s00278-022-00586-x","Clinical_Psychology","theoretical_discussion"
"10.1037/emo0000658","Experimental_Psychology","overview theoretical_discussion"
"10.1007/s10608-019-10018-x","Clinical_Psychology","experimental_study"
"10.1371/journal.pone.0226937","Clinical_Psychology","quantitative_study"
"10.1038/s41598-020-61004-3","Clinical_Psychology","experimental_study"
"10.1177/02698811211001087","Clinical_Psychology Physiological_Psychology_and_Neuropsychology","randomized_experimental_study"
"10.1016/j.neuroscience.2015.06.012","Clinical_Psychology Animal_Psychology","quantitative_study"
"10.1016/j.brat.2017.06.007","Clinical_Psychology Experimental_Psychology","experimental_study"
"10.3390/brainsci9080206","Clinical_Psychology Physiological_Psychology_and_Neuropsychology","experimental_study"
"10.1038/npp.2017.227","Physiological_Psychology_and_Neuropsychology Clinical_Psychology","experimental_study"
"10.1097/yic.0000000000000314","Clinical_Psychology","overview"
"10.3389/fpsyg.2021.723977","Clinical_Psychology","quantitative_study"
"10.1016/j.brat.2017.02.008","Clinical_Psychology Personality_Psychology","experimental_study"
"10.1016/j.janxdis.2011.06.012","Clinical_Psychology","experimental_study"
"10.1080/07481180600614385","Clinical_Psychology","quantitative_study"
"10.1002/mpr.1411","Clinical_Psychology","theoretical_discussion"
